Xco2,Latitude,Longitude,quality_flag,DateTime,Year,Month,Day
403.3222,-37.20239,165.52621,0,1/1/2018 2:49,2018,1,1
403.54175,-37.11523,165.48946,0,1/1/2018 2:49,2018,1,1
403.34137,-37.022533,165.4656,0,1/1/2018 2:49,2018,1,1
403.26685,-36.929962,165.44221,0,1/1/2018 2:49,2018,1,1
403.67862,-36.83715,165.4185,0,1/1/2018 2:49,2018,1,1
403.26794,-36.756214,165.36816,0,1/1/2018 2:49,2018,1,1
403.88068,-36.663826,165.3437,0,1/1/2018 2:49,2018,1,1
403.4908,-36.571754,165.3195,0,1/1/2018 2:49,2018,1,1
403.0761,-36.320076,165.32608,0,1/1/2018 2:49,2018,1,1
403.58795,-36.196518,165.27988,0,1/1/2018 2:49,2018,1,1
404.01843,-35.614803,165.10196,0,1/1/2018 2:49,2018,1,1
404.37515,-35.497498,165.08643,0,1/1/2018 2:49,2018,1,1
403.82056,-35.312325,165.0393,0,1/1/2018 2:50,2018,1,1
403.62637,-35.22575,165.00273,0,1/1/2018 2:50,2018,1,1
404.05795,-35.039505,164.9965,0,1/1/2018 2:50,2018,1,1
404.08475,-34.971996,164.92458,0,1/1/2018 2:50,2018,1,1
404.11975,-34.878838,164.90121,0,1/1/2018 2:50,2018,1,1
402.0027,-34.687305,164.86726,0,1/1/2018 2:50,2018,1,1
405.7537,-31.931456,164.19559,0,1/1/2018 2:51,2018,1,1
404.464,-31.782969,164.15913,0,1/1/2018 2:51,2018,1,1
403.6512,-30.633217,163.84396,0,1/1/2018 2:51,2018,1,1
404.2384,-24.459845,162.44252,0,1/1/2018 2:53,2018,1,1
404.89532,-24.141039,162.36917,0,1/1/2018 2:53,2018,1,1
404.7513,-24.094051,162.31415,0,1/1/2018 2:53,2018,1,1
404.5995,-23.945797,162.31487,0,1/1/2018 2:53,2018,1,1
404.45438,-23.890007,162.26707,0,1/1/2018 2:53,2018,1,1
404.48962,-23.703716,162.25894,0,1/1/2018 2:53,2018,1,1
403.2751,-23.497763,162.1782,0,1/1/2018 2:53,2018,1,1
404.4133,-23.162172,162.11852,0,1/1/2018 2:53,2018,1,1
404.78372,-23.078072,162.07416,0,1/1/2018 2:53,2018,1,1
404.89072,-22.90953,162.0853,0,1/1/2018 2:53,2018,1,1
405.4147,-22.750648,162.04123,0,1/1/2018 2:53,2018,1,1
404.529,-22.592422,161.98029,0,1/1/2018 2:53,2018,1,1
405.00674,-22.499102,161.95888,0,1/1/2018 2:53,2018,1,1
404.86182,-22.40574,161.9377,0,1/1/2018 2:53,2018,1,1
405.21936,-22.312473,161.91705,0,1/1/2018 2:53,2018,1,1
404.5187,-22.219252,161.89635,0,1/1/2018 2:53,2018,1,1
404.8635,-22.126003,161.87541,0,1/1/2018 2:53,2018,1,1
404.75623,-22.03269,161.85428,0,1/1/2018 2:53,2018,1,1
404.79916,-21.958462,161.82155,0,1/1/2018 2:54,2018,1,1
404.89328,-21.864964,161.80055,0,1/1/2018 2:54,2018,1,1
404.31555,-21.771431,161.77954,0,1/1/2018 2:54,2018,1,1
404.8555,-21.67781,161.75865,0,1/1/2018 2:54,2018,1,1
404.26907,-21.584366,161.73761,0,1/1/2018 2:54,2018,1,1
404.21167,-21.490795,161.71571,0,1/1/2018 2:54,2018,1,1
404.25275,-21.407097,161.68864,0,1/1/2018 2:54,2018,1,1
404.07706,-21.313862,161.66768,0,1/1/2018 2:54,2018,1,1
404.28085,-21.220684,161.64732,0,1/1/2018 2:54,2018,1,1
404.5132,-21.080423,161.62405,0,1/1/2018 2:54,2018,1,1
403.53815,-20.939322,161.61484,0,1/1/2018 2:54,2018,1,1
404.1361,-20.866367,161.5689,0,1/1/2018 2:54,2018,1,1
404.74203,-20.71477,161.5634,0,1/1/2018 2:54,2018,1,1
404.65933,-20.63103,161.53738,0,1/1/2018 2:54,2018,1,1
403.98807,-20.547436,161.51146,0,1/1/2018 2:54,2018,1,1
404.75653,-20.463955,161.48572,0,1/1/2018 2:54,2018,1,1
404.22852,-20.303507,161.4708,0,1/1/2018 2:54,2018,1,1
403.85852,-20.06807,161.438,0,1/1/2018 2:54,2018,1,1
405.16263,-19.986137,161.39922,0,1/1/2018 2:54,2018,1,1
404.86942,-19.64139,161.31538,0,1/1/2018 2:54,2018,1,1
404.9167,-19.557928,161.29027,0,1/1/2018 2:54,2018,1,1
404.2292,-19.474491,161.26486,0,1/1/2018 2:54,2018,1,1
403.58514,-19.294508,161.24474,0,1/1/2018 2:54,2018,1,1
404.34244,-19.154753,161.20728,0,1/1/2018 2:54,2018,1,1
403.52017,-19.012253,161.19392,0,1/1/2018 2:54,2018,1,1
404.60184,-18.90186,161.15616,0,1/1/2018 2:54,2018,1,1
404.29004,-18.651743,161.08162,0,1/1/2018 2:55,2018,1,1
403.08466,-18.351624,161.027,0,1/1/2018 2:55,2018,1,1
404.7407,-13.506957,159.96014,0,1/1/2018 2:56,2018,1,1
403.75247,-13.426589,159.93126,0,1/1/2018 2:56,2018,1,1
